id_municipio,cidade,ano,semana,temperatura_media,precipitacao,casos
1100205,Porto Velho,2017,6,27.157142857142855,130.0,23
1100205,Porto Velho,2017,7,26.48,43.2,32
1100205,Porto Velho,2017,8,26.116666666666664,64.6,23
1100205,Porto Velho,2017,9,27.7625,80.39999999999999,13
1100205,Porto Velho,2017,10,27.262500000000003,123.19999999999999,9
1100205,Porto Velho,2017,11,27.325,27.400000000000002,7
1100205,Porto Velho,2017,12,26.599999999999998,11.200000000000001,5
1100205,Porto Velho,2017,13,27.599999999999998,10.200000000000001,5
1100205,Porto Velho,2017,14,27.6375,22.4,4
1100205,Porto Velho,2017,15,27.15,11.399999999999999,2
1100205,Porto Velho,2017,16,28.066666666666666,12.0,4
1100205,Porto Velho,2017,17,28.2,11.8,2
1100205,Porto Velho,2017,18,27.55,0.0,1
1100205,Porto Velho,2017,19,27.900000000000002,0.0,3
1100205,Porto Velho,2017,20,29.349999999999998,0.0,1
1100205,Porto Velho,2017,21,27.45,21.8,2
1100205,Porto Velho,2017,22,27.35,0.2,1
1100205,Porto Velho,2017,23,28.5,0.0,1
1100205,Porto Velho,2017,24,27.700000000000003,0.0,1
1100205,Porto Velho,2017,25,26.3,0.0,2
1100205,Porto Velho,2017,26,25.950000000000003,0.0,1
1100205,Porto Velho,2017,28,29.333333333333332,0.0,4
1100205,Porto Velho,2017,34,28.475,2.6,3
1100205,Porto Velho,2017,35,29.366666666666664,0.0,4
1100205,Porto Velho,2017,36,28.975,0.0,2
1100205,Porto Velho,2017,37,28.6,0.0,2
1100205,Porto Velho,2017,38,27.3,0.0,1
1100205,Porto Velho,2017,39,27.299999999999997,0.2,1
1100205,Porto Velho,2017,40,26.65,4.0,2
1100205,Porto Velho,2017,41,28.475,0.0,2
1100205,Porto Velho,2017,43,27.95,15.0,2
1100205,Porto Velho,2017,44,28.7,0.2,1
1100205,Porto Velho,2017,45,28.25,17.8,3
1100205,Porto Velho,2017,46,27.849999999999998,0.4,5
1100205,Porto Velho,2017,47,27.85,0.0,1
1100205,Porto Velho,2017,50,25.975,26.6,2
1100205,Porto Velho,2017,51,26.599999999999998,11.2,6
1100205,Porto Velho,2018,2,26.5,39.0,3
1100205,Porto Velho,2018,3,27.07,35.6,8
1100205,Porto Velho,2018,4,28.0,33.0,1
1100205,Porto Velho,2018,5,27.43,18.8,6
1100205,Porto Velho,2018,6,26.7,82.80000000000001,5
1100205,Porto Velho,2018,7,28.0,12.6,5
1100205,Porto Velho,2018,8,26.089999999999996,33.4,7
1100205,Porto Velho,2018,9,26.74,42.0,6
1100205,Porto Velho,2018,10,28.183333333333334,29.2,4
1100205,Porto Velho,2018,11,27.599999999999998,36.2,3
1100205,Porto Velho,2018,12,28.025,2.1999999999999997,3
1100205,Porto Velho,2018,13,26.516666666666666,47.8,4
1100205,Porto Velho,2018,14,27.575,6.0,5
1100205,Porto Velho,2018,15,26.625,26.8,2
1100205,Porto Velho,2018,18,27.200000000000003,48.400000000000006,3
1100205,Porto Velho,2018,19,27.4,0.0,2
1100205,Porto Velho,2018,20,26.866666666666664,0.2,3
1100205,Porto Velho,2018,21,27.599999999999998,0.0,1
1100205,Porto Velho,2018,23,23.683333333333334,0.0,3
1100205,Porto Velho,2018,24,27.55,0.0,1
1100205,Porto Velho,2018,25,24.7,0.0,1
1100205,Porto Velho,2018,26,27.25,0.0,1
1100205,Porto Velho,2018,28,22.65,0.0,1
1100205,Porto Velho,2018,30,28.85,0.0,1
1100205,Porto Velho,2018,31,29.349999999999998,0.0,2
1100205,Porto Velho,2018,32,27.05,0.0,1
1100205,Porto Velho,2018,33,28.183333333333334,0.0,4
1100205,Porto Velho,2018,35,28.0,2.2,1
1100205,Porto Velho,2018,37,30.1,0.0,1
1100205,Porto Velho,2018,40,27.924999999999997,6.8,3
1100205,Porto Velho,2018,41,28.15,11.4,1
1100205,Porto Velho,2018,42,28.2,3.6,1
1100205,Porto Velho,2018,44,25.85,5.800000000000001,1
1100205,Porto Velho,2018,45,27.900000000000002,1.6,1
1100205,Porto Velho,2018,46,27.45,28.4,4
1100205,Porto Velho,2018,47,28.266666666666666,17.2,4
1100205,Porto Velho,2018,48,27.0,43.4,1
1100205,Porto Velho,2018,50,27.4,6.4,1
1100205,Porto Velho,2018,51,27.275000000000002,13.8,2
1100205,Porto Velho,2018,52,27.8,40.20000000000001,1
1100205,Porto Velho,2019,2,27.6,0.8,1
1100205,Porto Velho,2019,3,27.275,5.6000000000000005,2
1100205,Porto Velho,2019,4,27.85,34.2,2
1100205,Porto Velho,2019,5,26.5125,31.0,4
1100205,Porto Velho,2019,6,27.525000000000002,64.0,2
1100205,Porto Velho,2019,7,27.45,46.0,2
1100205,Porto Velho,2019,8,26.950000000000003,31.599999999999998,1
1100205,Porto Velho,2019,9,27.633333333333336,6.999999999999999,5
1100205,Porto Velho,2019,12,26.549999999999997,9.4,1
1100205,Porto Velho,2019,13,27.833333333333332,17.2,4
1100205,Porto Velho,2019,14,28.45,0.0,1
1100205,Porto Velho,2019,15,27.75,9.0,6
1100205,Porto Velho,2019,16,27.9,0.6000000000000001,5
1100205,Porto Velho,2019,18,27.566666666666666,1.2000000000000002,3
1100205,Porto Velho,2019,19,28.675,0.0,2
1100205,Porto Velho,2019,20,25.8,0.0,3
1100205,Porto Velho,2019,21,27.35,8.2,5
1100205,Porto Velho,2019,22,27.75,9.0,1
1100205,Porto Velho,2019,23,26.200000000000003,0.0,2
1100205,Porto Velho,2019,24,27.25,0.4,6
1100205,Porto Velho,2019,25,27.266666666666666,0.0,4
1100205,Porto Velho,2019,26,27.625,0.2,2
1100205,Porto Velho,2019,28,25.76666666666667,0.0,4
1100205,Porto Velho,2019,29,28.11666666666667,0.0,4
1100205,Porto Velho,2019,30,27.616666666666664,0.0,3
1100205,Porto Velho,2019,31,26.75,0.0,3
1100205,Porto Velho,2019,32,25.3,0.0,3
1100205,Porto Velho,2019,33,26.5,0.0,2
1100205,Porto Velho,2019,34,28.916666666666668,0.0,3
1100205,Porto Velho,2019,36,28.8,0.0,2
1100205,Porto Velho,2019,37,31.25,0.0,1
1100205,Porto Velho,2019,38,31.85,0.4,1
1100205,Porto Velho,2019,39,,0.0,1
1100205,Porto Velho,2019,40,,0.0,2
1100205,Porto Velho,2019,41,,0.0,1
1100205,Porto Velho,2019,42,,0.0,2
1100205,Porto Velho,2019,43,,0.0,3
1100205,Porto Velho,2019,44,,0.0,4
1100205,Porto Velho,2019,45,,0.0,7
1100205,Porto Velho,2019,46,,0.0,4
1100205,Porto Velho,2019,47,,0.0,3
1100205,Porto Velho,2019,48,,0.0,4
1100205,Porto Velho,2019,49,,0.0,8
1100205,Porto Velho,2019,50,,0.0,19
1100205,Porto Velho,2019,51,,0.0,8
1100205,Porto Velho,2019,52,,0.0,5
1100205,Porto Velho,2020,1,,0.0,2
1100205,Porto Velho,2020,2,,0.0,9
1100205,Porto Velho,2020,3,,0.0,7
1100205,Porto Velho,2020,4,,0.0,16
1100205,Porto Velho,2020,5,,0.0,15
1100205,Porto Velho,2020,6,,0.0,21
1100205,Porto Velho,2020,7,,0.0,17
1100205,Porto Velho,2020,8,,0.0,25
1100205,Porto Velho,2020,9,,0.0,11
1100205,Porto Velho,2020,10,,0.0,18
