cidade,data,ano,mes,temperatura_media,precipitacao,casos
Brasília,2021-02-25,2021,2,21.75,16.8,48
Brasília,2021-03-05,2021,3,23.45,0.0,72
Brasília,2021-03-22,2021,3,22.05,0.0,82
Brasília,2021-04-09,2021,4,19.85,0.0,74
Brasília,2021-04-16,2021,4,21.9,0.0,90
Brasília,2021-04-19,2021,4,20.8,12.8,142
Brasília,2021-05-02,2021,5,19.3,0.0,24
Brasília,2021-05-07,2021,5,20.75,0.0,117
Brasília,2021-05-09,2021,5,20.25,0.2,20
Brasília,2021-06-02,2021,6,20.35,0.0,111
Brasília,2021-06-03,2021,6,20.4,0.0,34
Brasília,2021-06-04,2021,6,20.1,0.0,113
Brasília,2021-06-07,2021,6,19.65,0.0,112
Brasília,2021-06-27,2021,6,17.4,0.0,21
Brasília,2021-07-02,2021,7,18.799999999999997,0.0,58
Brasília,2021-07-18,2021,7,21.549999999999997,0.0,12
Brasília,2021-07-20,2021,7,17.7,0.0,22
Brasília,2021-08-05,2021,8,18.65,0.0,17
Brasília,2021-08-15,2021,8,23.25,0.0,3
Brasília,2021-08-19,2021,8,20.45,0.0,17
Brasília,2021-08-22,2021,8,22.0,0.0,4
Brasília,2021-08-30,2021,8,22.1,2.6,18
Brasília,2021-09-06,2021,9,25.450000000000003,0.0,26
Brasília,2021-09-09,2021,9,26.950000000000003,0.0,17
Brasília,2021-09-20,2021,9,25.799999999999997,0.0,23
Brasília,2021-10-05,2021,10,26.6,0.0,18
Brasília,2021-10-10,2021,10,24.0,56.4,4
Brasília,2021-10-20,2021,10,23.65,0.2,21
Brasília,2021-10-30,2021,10,23.3,10.200000000000001,4
Brasília,2021-10-31,2021,10,20.45,9.799999999999999,6
Brasília,2021-11-16,2021,11,20.25,7.800000000000001,42
Brasília,2021-11-20,2021,11,22.3,27.599999999999998,17
Brasília,2021-11-26,2021,11,23.700000000000003,0.0,26
Brasília,2021-11-28,2021,11,23.1,0.4,7
Brasília,2021-12-08,2021,12,21.55,8.6,40
Brasília,2021-12-15,2021,12,21.950000000000003,1.4,47
Brasília,2021-12-30,2021,12,20.450000000000003,25.199999999999996,99
,2017-01-14,2017,1,22.35,0.8,
Brasília,2017-01-18,2017,1,22.55,1.9999999999999998,10
Brasília,2017-01-12,2017,1,22.35,14.4,7
,2017-01-07,2017,1,24.799999999999997,0.0,
Brasília,2017-01-23,2017,1,21.05,36.6,9
Brasília,2017-01-27,2017,1,22.4,0.0,9
Brasília,2017-01-29,2017,1,23.549999999999997,0.0,2
Brasília,2017-02-28,2017,2,22.0,0.8,1
Brasília,2017-02-04,2017,2,21.85,24.8,1
Brasília,2017-03-21,2017,3,22.35,0.0,11
Brasília,2017-04-03,2017,4,21.9,0.0,29
Brasília,2017-04-11,2017,4,22.2,0.0,21
Brasília,2017-05-06,2017,5,21.35,1.6,6
Brasília,2017-05-14,2017,5,21.6,0.0,3
Brasília,2017-05-21,2017,5,20.700000000000003,0.2,2
Brasília,2017-05-27,2017,5,20.15,0.0,9
Brasília,2017-05-25,2017,5,21.6,0.0,34
Brasília,2017-06-05,2017,6,22.2,0.0,47
Brasília,2017-06-13,2017,6,21.15,0.0,38
,2017-07-23,2017,7,19.9,0.0,
Brasília,2017-07-03,2017,7,17.3,0.0,22
Brasília,2017-07-24,2017,7,17.799999999999997,0.0,7
Brasília,2017-08-29,2017,8,22.4,0.0,3
Brasília,2017-08-21,2017,8,23.15,0.0,8
Brasília,2017-08-23,2017,8,20.3,0.0,5
Brasília,2017-09-20,2017,9,23.1,0.0,4
,2017-09-15,2017,9,22.9,0.0,
Brasília,2017-09-22,2017,9,20.549999999999997,0.0,2
,2017-10-01,2017,10,22.45,0.0,
Brasília,2017-10-12,2017,10,24.65,0.0,1
Brasília,2017-10-03,2017,10,17.2,8.6,1
Brasília,2017-11-09,2017,11,21.05,12.4,2
,2017-11-05,2017,11,21.299999999999997,2.0,
Brasília,2020-01-02,2020,1,23.1,0.0,33
Brasília,2020-01-08,2020,1,23.35,3.0,52
Brasília,2020-01-09,2020,1,22.65,12.0,42
Brasília,2020-01-10,2020,1,23.85,0.2,40
Brasília,2020-01-12,2020,1,24.200000000000003,0.0,18
Brasília,2020-02-03,2020,2,24.1,5.6,163
Brasília,2020-02-10,2020,2,23.450000000000003,1.4,227
Brasília,2020-02-11,2020,2,23.5,2.8,175
Brasília,2020-03-26,2020,3,21.65,31.39999999999999,265
Brasília,2020-03-28,2020,3,21.75,11.4,241
Brasília,2020-04-05,2020,4,24.65,6.199999999999999,180
Brasília,2020-04-14,2020,4,22.35,0.0,436
Brasília,2020-04-19,2020,4,22.4,0.0,254
Brasília,2020-04-30,2020,4,19.55,0.0,415
Brasília,2020-05-02,2020,5,20.0,0.0,283
Brasília,2020-05-13,2020,5,20.25,0.0,342
Brasília,2020-05-20,2020,5,19.4,0.0,252
Brasília,2020-05-22,2020,5,20.3,0.0,190
Brasília,2020-05-27,2020,5,17.6,0.0,283
Brasília,2020-06-03,2020,6,20.6,0.0,263
Brasília,2020-06-13,2020,6,19.25,0.0,158
Brasília,2020-06-14,2020,6,18.4,0.0,101
Brasília,2020-06-18,2020,6,18.4,0.0,209
Brasília,2020-06-23,2020,6,18.1,0.0,78
Brasília,2020-07-05,2020,7,19.65,0.0,24
Brasília,2020-07-09,2020,7,19.1,0.0,68
Brasília,2020-07-20,2020,7,19.15,0.0,73
Brasília,2020-07-25,2020,7,18.55,0.0,20
Brasília,2020-07-29,2020,7,20.7,0.0,64
Brasília,2020-08-13,2020,8,20.85,0.0,28
Brasília,2020-08-15,2020,8,22.1,0.0,22
Brasília,2020-08-25,2020,8,20.75,0.0,33
Brasília,2020-08-29,2020,8,21.0,0.0,20
Brasília,2020-09-05,2020,9,23.0,0.0,11
Brasília,2020-09-09,2020,9,23.200000000000003,0.0,24
Brasília,2020-10-08,2020,10,28.15,0.0,25
Brasília,2020-10-09,2020,10,28.200000000000003,0.0,20
Brasília,2020-10-14,2020,10,23.85,5.0,30
Brasília,2020-10-16,2020,10,25.75,0.0,29
Brasília,2020-10-17,2020,10,25.900000000000002,0.0,17
Brasília,2020-10-24,2020,10,20.950000000000003,20.4,9
Brasília,2020-10-27,2020,10,23.5,6.8,25
Brasília,2020-11-18,2020,11,23.85,0.2,20
Brasília,2020-11-19,2020,11,19.55,38.6,17
Brasília,2020-11-23,2020,11,21.3,0.0,22
